description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
negative regulation of TORC1 signaling	GO:1904262	2	345	19	18004	0.050522501898947504	0.1996738777269743	5.493211289092296	0	SESN1, ATM
regulation of integrin activation	GO:0033623	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	FARP2
positive regulation of calcium ion transmembrane transport	GO:1904427	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	TOR2A
growth plate cartilage chondrocyte growth	GO:0003430	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	SOX9
histone H3-K56 acetylation	GO:0097043	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	PBXIP1
RNA-dependent DNA biosynthetic process	GO:0006278	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	TERT
axon target recognition	GO:0007412	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	STXBP1
cellular response to lectin	GO:1990858	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	MYC
urogenital system development	GO:0001655	2	345	18	18004	0.04577086412850314	0.1996738777269743	5.798389694041868	0	GATA2, NKX3-1
negative regulation of mesenchymal cell apoptotic process involved in metanephros development	GO:1900212	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	HNF1B
cortical cytoskeleton organization	GO:0030865	2	345	19	18004	0.050522501898947504	0.1996738777269743	5.493211289092296	0	RHOBTB2, RHOD
calcium ion export	GO:1901660	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	ATP2B1
regulation of fibroblast apoptotic process	GO:2000269	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	TP53
positive regulation of hormone biosynthetic process	GO:0046886	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	ARNT
lung goblet cell differentiation	GO:0060480	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	SPDEF
response to muscle activity	GO:0014850	2	345	19	18004	0.050522501898947504	0.1996738777269743	5.493211289092296	0	TNS2, ADSL
replication fork arrest	GO:0043111	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	TIPIN
ureter smooth muscle cell differentiation	GO:0072193	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	SOX9
putrescine biosynthetic process from ornithine	GO:0033387	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	ODC1
centrosome cycle	GO:0007098	3	345	42	18004	0.04623407996048375	0.1996738777269743	3.7275362318840575	0	HAUS6, HAUS8, CHD3
cellular response to carbohydrate stimulus	GO:0071322	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	MYC
glycolipid metabolic process	GO:0006664	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	ST6GALNAC4
positive regulation of vitamin D 24-hydroxylase activity	GO:0010980	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	VDR
histone lysine demethylation	GO:0070076	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	KDM2A
regulation of SNARE complex assembly	GO:0035542	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	STXBP1
response to isolation stress	GO:0035900	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	SOD2
regulation of embryonic cell shape	GO:0016476	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	WDPCP
fibroblast apoptotic process	GO:0044346	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	MYC
chondrocyte development	GO:0002063	2	345	19	18004	0.050522501898947504	0.1996738777269743	5.493211289092296	0	BMPR1B, SOX9
tRNA export from nucleus	GO:0006409	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	XPOT
positive regulation of phospholipase A2 activity	GO:0032430	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	AVPR1B
negative regulation of helicase activity	GO:0051097	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	TP53
negative regulation of type I interferon-mediated signaling pathway	GO:0060339	2	345	20	18004	0.05544246445335048	0.1996738777269743	5.218550724637682	0	ADAR, TTLL12
epithelial cell maturation involved in prostate gland development	GO:0060743	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	HOXB13
NAD catabolic process	GO:0019677	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	NUDT17
regulation of glucagon secretion	GO:0070092	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	PASK
regulation of synaptic transmission, dopaminergic	GO:0032225	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	CHRNB2
regulation of somatic stem cell population maintenance	GO:1904672	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	MYC
immune response to tumor cell	GO:0002418	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	ADAM15
regulation of transcription by RNA polymerase I	GO:0006356	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	POLR2L
positive regulation of plasma cell differentiation	GO:1900100	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	XBP1
negative regulation of phosphorylation	GO:0042326	2	345	19	18004	0.050522501898947504	0.1996738777269743	5.493211289092296	0	CDKN1B, CDKN1C
positive regulation of cell differentiation	GO:0045597	3	345	45	18004	0.054833367151880516	0.1996738777269743	3.479033816425121	0	DLX2, MAP2K1, DLX1
vasopressin secretion	GO:0030103	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	TOR2A
double-strand break repair	GO:0006302	4	345	72	18004	0.049377504603248516	0.1996738777269743	2.899194847020934	0	CHEK2, INO80, TP53, ATM
peptidyl-glutamic acid carboxylation	GO:0017187	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	GGCX
ventral spinal cord interneuron differentiation	GO:0021514	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	GATA2
endothelial cell proliferation	GO:0001935	2	345	19	18004	0.050522501898947504	0.1996738777269743	5.493211289092296	0	XBP1, MMP14
response to silicon dioxide	GO:0034021	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	SOD2
cell differentiation in hindbrain	GO:0021533	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	GATA2
positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	GO:2001190	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	CD81
rRNA import into mitochondrion	GO:0035928	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	MRPL18
pancreatic A cell differentiation	GO:0003310	1	345	3	18004	0.05639573988070434	0.1996738777269743	17.395169082125605	0	RFX6
branching involved in ureteric bud morphogenesis	GO:0001658	3	345	41	18004	0.043528791075469725	0.1996738777269743	3.8184517497348884	0	MYC, SOX9, HOXA11
phosphorylation	GO:0016310	20	345	713	18004	0.05789063452325073	0.20463447957084255	1.4638290952700368	0	PIK3C2B, CDK18, CDK9, PMVK, BMPR1B, CHEK2, PASK, CDKN1B, PFKM, MAP2K1, PDK1, TOLLIP, PACSIN1, STK25, RIPK4, NUAK2, LMTK2, TAB1, ATM, TBK1
chromatin organization	GO:0006325	11	345	335	18004	0.05882560263743911	0.20760297629814675	1.7135539692840147	0	HDAC7, KANSL2, SETDB1, KAT7, TET2, EMSY, NUCKS1, CHD3, RUVBL1, HAT1, KDM2A
regulation of protein localization to plasma membrane	GO:1903076	2	345	21	18004	0.060522597634929655	0.2115381176951628	4.970048309178743	0	VAMP8, MMP14
melanosome transport	GO:0032402	2	345	21	18004	0.060522597634929655	0.2115381176951628	4.970048309178743	0	MLPH, RAB17
nucleosome mobilization	GO:0042766	2	345	21	18004	0.060522597634929655	0.2115381176951628	4.970048309178743	0	INO80, RUVBL1
positive regulation of vascular associated smooth muscle cell migration	GO:1904754	2	345	21	18004	0.060522597634929655	0.2115381176951628	4.970048309178743	0	TERT, XBP1
phosphatidylinositol-3-phosphate biosynthetic process	GO:0036092	2	345	21	18004	0.060522597634929655	0.2115381176951628	4.970048309178743	0	PIK3C2B, ATM
hematopoietic stem cell homeostasis	GO:0061484	2	345	21	18004	0.060522597634929655	0.2115381176951628	4.970048309178743	0	ADAR, ADGRG1
positive regulation of cell death	GO:0010942	3	345	47	18004	0.060959392664871326	0.21272389664333496	3.3309898242368177	0	CDKN1B, NKX3-1, BCL2L11
cellular response to cisplatin	GO:0072719	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RAD51
regulation of retrograde transport, endosome to Golgi	GO:1905279	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RAB29
amine transport	GO:0015837	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SLC22A2
internal protein amino acid acetylation	GO:0006475	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	HAT1
multicellular organism development	GO:0007275	6	345	149	18004	0.06733189185263272	0.2201110223502326	2.101429822001751	0	VDR, CD164, HOXA10, HOXA9, KREMEN1, LMTK2
morphogenesis of an epithelial fold	GO:0060571	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	GDF7
Golgi vesicle fusion to target membrane	GO:0048210	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RAB13
inner cell mass cell differentiation	GO:0001826	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	HNF1B
astrocyte fate commitment	GO:0060018	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
multicellular organismal reproductive process	GO:0048609	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	UMODL1
chondrocyte differentiation	GO:0002062	3	345	49	18004	0.06738998772196139	0.2201110223502326	3.195031055900621	0	BMPR1B, SOX9, COL2A1
trachea cartilage development	GO:0060534	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
negative regulation of non-canonical Wnt signaling pathway	GO:2000051	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ZNRF3
chondrocyte differentiation involved in endochondral bone morphogenesis	GO:0003413	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
base conversion or substitution editing	GO:0016553	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ADAR
protein delipidation	GO:0051697	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ATG4B
negative regulation of Rac protein signal transduction	GO:0035021	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	STMN3
regulation of neuron death	GO:1901214	2	345	23	18004	0.07113199825296401	0.2201110223502326	4.537870195337114	0	RAB29, TBK1
response to epinephrine	GO:0071871	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RNLS
prolactin secretion	GO:0070459	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	UBE2Q1
positive regulation of histamine secretion by mast cell	GO:1903595	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	VAMP8
regulation of cellular response to insulin stimulus	GO:1900076	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ATP2B1
fatty acid beta-oxidation	GO:0006635	3	345	50	18004	0.07071661136486514	0.2201110223502326	3.1311304347826088	0	MCAT, ACOXL, ACAT2
N-terminal protein amino acid modification	GO:0031365	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	METAP1D
cholesterol esterification	GO:0034435	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOAT2
negative regulation of translational initiation in response to stress	GO:0032057	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ATF4
regulation of vesicle fusion	GO:0031338	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	STXBP1
positive regulation of PERK-mediated unfolded protein response	GO:1903899	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	BOK
sucrose transport	GO:0015770	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SLC45A3
positive regulation of protein localization to nucleolus	GO:1904751	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	TERT
DNA unwinding involved in DNA replication	GO:0006268	2	345	22	18004	0.06575499639065355	0.2201110223502326	4.744137022397892	0	RAD51, HMGA1
oxidative DNA demethylation	GO:0035511	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	TET2
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043280	3	345	51	18004	0.07411583621347159	0.2201110223502326	3.069735720375107	0	MYC, NKX3-1, BCL2L11
positive regulation of DNA methylation	GO:1905643	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	MYC
response to L-ascorbic acid	GO:0033591	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOD2
negative regulation of transforming growth factor beta receptor signaling pathway	GO:0030512	4	345	81	18004	0.07007044817688364	0.2201110223502326	2.57706208624083	0	SKIL, MECOM, XBP1, TP53
Golgi vesicle budding	GO:0048194	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	GOLPH3L
S-adenosylmethionine biosynthetic process	GO:0006556	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	MAT2A
regulation of Golgi inheritance	GO:0090170	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	MAP2K1
cellular response to bisphenol A	GO:1903926	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	CHEK2
mammary gland branching involved in pregnancy	GO:0060745	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	VDR
cellular response to decreased oxygen levels	GO:0036294	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PTEN
negative regulation of mitotic cell cycle phase transition	GO:1901991	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ZFP36L2
protein K33-linked deubiquitination	GO:1990168	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ZRANB1
positive regulation of kidney development	GO:0090184	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
cellular response to fructose stimulus	GO:0071332	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	XBP1
histamine metabolic process	GO:0001692	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SLC22A3
negative regulation of endoplasmic reticulum unfolded protein response	GO:1900102	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	XBP1
negative regulation of wound healing, spreading of epidermal cells	GO:1903690	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PTEN
auditory receptor cell morphogenesis	GO:0002093	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	WDPCP
positive regulation of DNA ligation	GO:0051106	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RAD51
morphogenesis of a branching epithelium	GO:0061138	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
regulation of acute inflammatory response	GO:0002673	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RHBDD3
regulation of response to reactive oxygen species	GO:1901031	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SESN1
regulation of microglial cell activation	GO:1903978	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ATM
stress-activated protein kinase signaling cascade	GO:0031098	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	KAT7
strand invasion	GO:0042148	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RAD51
regulation of mitotic cytokinesis	GO:1902412	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	INCENP
cellular response to glucocorticoid stimulus	GO:0071385	2	345	22	18004	0.06575499639065355	0.2201110223502326	4.744137022397892	0	ZFP36L2, BCL2L11
organelle fusion	GO:0048284	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	VPS18
adherens junction maintenance	GO:0034334	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	FERMT2
tyrosine metabolic process	GO:0006570	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	THAP4
cation transport	GO:0006812	4	345	82	18004	0.07260624853791799	0.2201110223502326	2.545634499823259	0	SLC39A1, SLC41A1, SLC22A1, SLC22A2
Harderian gland development	GO:0070384	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
oxidative stress-induced premature senescence	GO:0090403	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	TP53
positive regulation of exocytosis	GO:0045921	2	345	23	18004	0.07113199825296401	0.2201110223502326	4.537870195337114	0	EXPH5, STXBP1
multicellular organism growth	GO:0035264	4	345	82	18004	0.07260624853791799	0.2201110223502326	2.545634499823259	0	TNS2, CDKN1C, TP53, ATM
cellular response to actinomycin D	GO:0072717	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	TP53
brain morphogenesis	GO:0048854	2	345	22	18004	0.06575499639065355	0.2201110223502326	4.744137022397892	0	PTEN, FOXO3
cellular response to camptothecin	GO:0072757	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	RAD51
specification of loop of Henle identity	GO:0072086	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	IRX3
ovarian cumulus expansion	GO:0001550	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	BMPR1B
cell-substrate junction assembly	GO:0007044	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ITGA6
positive regulation of phospholipid biosynthetic process	GO:0071073	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	XBP1
humoral immune response mediated by circulating immunoglobulin	GO:0002455	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	CD81
angiogenesis	GO:0001525	9	345	261	18004	0.0648734645858795	0.2201110223502326	1.7995002498750623	0	RAPGEF3, PTEN, XBP1, SHC1, ADAM15, HOXB13, MEIS1, MMP14, ADGRG1
response to glycoside	GO:1903416	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	CHEK2
articular cartilage development	GO:0061975	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PBXIP1
presynaptic dense core vesicle exocytosis	GO:0099525	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	STXBP1
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	GO:0006990	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	XBP1
positive regulation of histone H2B ubiquitination	GO:2001168	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	CDK9
histone lysine methylation	GO:0034968	2	345	22	18004	0.06575499639065355	0.2201110223502326	4.744137022397892	0	MECOM, SETDB1
positive regulation of gene expression	GO:0010628	15	345	516	18004	0.07282487312359548	0.2201110223502326	1.517020559487698	0	MYC, VDR, HNF1B, GATA2, ATF4, ITGB8, MAP2K1, GDF7, NKX3-1, TOR2A, TP53, SOX9, SLC26A9, ATM, SLC22A2
somitogenesis	GO:0001756	3	345	48	18004	0.0641371865190994	0.2201110223502326	3.261594202898551	0	NKX3-1, TP53, ATM
negative regulation of action potential	GO:0045759	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	CHRNB2
positive regulation of mesenchymal cell proliferation	GO:0002053	2	345	22	18004	0.06575499639065355	0.2201110223502326	4.744137022397892	0	MYC, SOX9
histone acetylation	GO:0016573	3	345	51	18004	0.07411583621347159	0.2201110223502326	3.069735720375107	0	KAT7, RUVBL1, HAT1
mitotic cytokinesis	GO:0000281	3	345	51	18004	0.07411583621347159	0.2201110223502326	3.069735720375107	0	JTB, INCENP, ARL3
autophagosome organization	GO:1905037	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PIK3C2B
regulation of B cell apoptotic process	GO:0002902	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PTEN
antral ovarian follicle growth	GO:0001547	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	FOXO3
transport	GO:0006810	2	345	22	18004	0.06575499639065355	0.2201110223502326	4.744137022397892	0	ALB, AFM
negative regulation of mitochondrial fission	GO:0090258	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	C11orf65
positive regulation of antibacterial peptide production	GO:0002803	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	KLK3
regulation of acetyl-CoA biosynthetic process from pyruvate	GO:0010510	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PDK1
metanephric nephron tubule formation	GO:0072289	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
regulation of epidermal growth factor-activated receptor activity	GO:0007176	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SHC1
mitotic cytokinesis checkpoint signaling	GO:0044878	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ZFYVE19
signal transduction by p53 class mediator	GO:0072331	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	TP53
post-embryonic animal organ morphogenesis	GO:0048563	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	BCL2L11
HRI-mediated signaling	GO:0140468	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ATF4
eosinophil degranulation	GO:0043308	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	VAMP8
photoreceptor cell development	GO:0042461	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ARL3
cellular response to hydrostatic pressure	GO:0071464	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	MYC
Golgi reassembly	GO:0090168	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	STK25
positive regulation of mesenchymal stem cell differentiation	GO:2000741	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
oncogene-induced cell senescence	GO:0090402	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	HMGA1
valine catabolic process	GO:0006574	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	HIBADH
positive regulation of cell proliferation involved in heart morphogenesis	GO:2000138	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	SOX9
cellular amide metabolic process	GO:0043603	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	PC
dolichol metabolic process	GO:0019348	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	DPM1
response to human chorionic gonadotropin	GO:0044752	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	MYC
nucleobase-containing small molecule catabolic process	GO:0034656	1	345	4	18004	0.07448048349127541	0.2201110223502326	13.046376811594202	0	ENTPD4
response to virus	GO:0009615	5	345	118	18004	0.07671143834899001	0.22487586967627313	2.211250307049865	0	ADAR, ITGB8, ODC1, MX1, TBK1
synaptic transmission, cholinergic	GO:0007271	2	345	24	18004	0.07664617698986437	0.22487586967627313	4.348792270531401	0	CHRNB2, ANXA9
organelle organization	GO:0006996	2	345	24	18004	0.07664617698986437	0.22487586967627313	4.348792270531401	0	XBP1, TOR1A
coronary vasculature development	GO:0060976	2	345	24	18004	0.07664617698986437	0.22487586967627313	4.348792270531401	0	MMP21, TAB1
cell migration	GO:0016477	9	345	270	18004	0.07653129529427138	0.22487586967627313	1.7395169082125603	0	PIK3C2B, PBXIP1, PTEN, RHOV, ITGB8, MMP14, ADGRG1, RHOD, ZRANB1
membrane protein ectodomain proteolysis	GO:0006509	2	345	24	18004	0.07664617698986437	0.22487586967627313	4.348792270531401	0	MMP7, BACE2
histone deacetylation	GO:0016575	3	345	52	18004	0.07758640753944616	0.22713550985709002	3.0107023411371236	0	HDAC7, GATAD2B, CHD3
transport across blood-brain barrier	GO:0150104	4	345	84	18004	0.07781613316872138	0.22750266278951922	2.4850241545893716	0	AVPR1B, SLC22A3, SLC22A1, SLC22A2
cell differentiation	GO:0030154	26	345	1013	18004	0.07973026534379496	0.23278675865437323	1.3394108473897306	0	ASCL2, VDR, PBXIP1, ARNT, BMPR1B, GATA2, DLX2, MCL1, MECOM, XBP1, RFX6, TCF4, NKX3-1, RAB29, SPDEF, CTBP2, VAMP5, SOX9, DLX1, HORMAD1, RMDN3, ARMC2, KRT6A, CFAP157, ADGRG1, ELK4
inner ear development	GO:0048839	3	345	53	18004	0.08112703986873157	0.2362324084829153	2.9538966365873667	0	CDKN1B, HOXA13, COL2A1
embryonic limb morphogenesis	GO:0030326	3	345	53	18004	0.08112703986873157	0.2362324084829153	2.9538966365873667	0	MBNL1, HOXA10, HOXA11
positive regulation of endothelial cell apoptotic process	GO:2000353	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	XBP1, FOXO3
embryo development ending in birth or egg hatching	GO:0009792	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	TP53, EVX1
mitotic spindle assembly checkpoint signaling	GO:0007094	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	ZWILCH, ATM
zymogen activation	GO:0031638	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	KLK3, MMP14
RNA splicing, via transesterification reactions	GO:0000375	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	SF3B4, PRPF3
positive regulation of nitric-oxide synthase activity	GO:0051000	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	TERT, S100A1
cellular response to interleukin-4	GO:0071353	2	345	25	18004	0.08229033641277365	0.2374010895717716	4.174840579710145	0	XBP1, RPL3
optic nerve morphogenesis	GO:0021631	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	CHRNB2
response to odorant	GO:1990834	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	MMP14
positive regulation of histone H4 acetylation	GO:0090240	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	KAT7
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process	GO:1901911	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	NUDT3
positive regulation of hydrogen peroxide biosynthetic process	GO:0010729	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	SOD2
scaRNA localization to Cajal body	GO:0090666	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	TCP1
integrated stress response signaling	GO:0140467	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	ATF4
response to superoxide	GO:0000303	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	SOD2
odontogenesis of dentin-containing tooth	GO:0042475	3	345	55	18004	0.08841320734047944	0.23830682947809434	2.8464822134387355	0	DLX2, BCL2L11, DLX1
diadenosine pentaphosphate catabolic process	GO:1901907	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	NUDT3
leukocyte differentiation	GO:0002521	1	345	5	18004	0.09221960755594298	0.23830682947809434	10.437101449275364	0	TET2
